ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,CITY,DISTRICT,STATE
UTIB0000620,AXIS BANK LTD,UTIB0000620,600211019,"KILPAUK, CHENNAI",CHENNAI,CHENNAI,TAMIL NADU
UTIB0000621,AXIS BANK LTD,UTIB0000621,600211021,"THIRUVALLUR, TAMIL NADU",CHENNAI,CHENNAI,TAMIL NADU
UTIB0000622,AXIS BANK LTD,UTIB0000622,600211020,"OLD WASHERMANPET, TAMIL NADU",CHENNAI,CHENNAI,TAMIL NADU
UTIB0000623,AXIS BANK LTD,UTIB0000623,627211003,"ILANJI, TAMIL NADU",TENKASI,TIRUNELVELI,TAMIL NADU
UTIB0000624,AXIS BANK LTD,UTIB0000624,110211054,"GREATER NOIDA, UTTAR PRADESH",NOIDA,GAUTAM BODDA NAGAR ,UTTAR PRADESH
UTIB0000625,AXIS BANK LTD,UTIB0000625,NON-MICR,"FARRUKHABAD, UTTAR PRADESH",FARRUKHABAD,FARRUKHABAD,UTTAR PRADESH
UTIB0000626,AXIS BANK LTD,UTIB0000626,302211006,"MALVIYA NAGAR, JAIPUR",JAIPUR,JAIPUR,RAJASTHAN
UTIB0000627,AXIS BANK LTD,UTIB0000627,110211056,"BAHADURGARH, HARYANA",BAHADURGARH,JHANJHAR ,HARYANA
UTIB0000628,AXIS BANK LTD,UTIB0000628,NON-MICR,"PILIBHIT, UTTAR PRADESH",PILIBHIT,PILIBHIT,UTTAR PRADESH
UTIB0000629,AXIS BANK LTD,UTIB0000629,422211004,"NASHIK ROAD, MAHARASHTRA",NASHIK,NASHIK,MAHARASHTRA
UTIB0000630,AXIS BANK LTD,UTIB0000630,NON-MICR,"BETTIAH, BIHAR",BETTIAH,WEST CHAMPARAN ,BIHAR
UTIB0000631,AXIS BANK LTD,UTIB0000631,360211004,"SHASTRI MAIDAN, RAJKOT",RAJKOT,RAJKOT,GUJARAT
UTIB0000632,AXIS BANK LTD,UTIB0000632,759211003,"DHENKANAL, ORISSA",DHENKANAL,DHENKANAL,ORISSA
UTIB0000633,AXIS BANK LTD,UTIB0000633,764211002,"JEYPORE, ORISSA",JEYPORE,KORAPUT,ORISSA
UTIB0000634,AXIS BANK LTD,UTIB0000634,NON-MICR,"DEOGHAR, JHARKHAND",DEOGHAR,DEOGHAR,JHARKHAND
UTIB0000635,AXIS BANK LTD,UTIB0000635,NON-MICR,"GIRIDIH, JHARKHAND",GIRIDIH,GIRIDIH,JHARKHAND
UTIB0000636,AXIS BANK LTD,UTIB0000636,110211055,INDIRAPURAM (GHAZIABAD),GHAZIABAD,GHAZIABAD,UTTAR PRADESH
UTIB0000637,AXIS BANK LTD,UTIB0000637,203211002,"BULANDSHAHR, UP",BULANDSHAHR,BULANDSHAHR,UTTAR PRADESH
UTIB0000638,AXIS BANK LTD,UTIB0000638,222211002,"JAUNPUR, UTTAR PRADESH",JAUNPUR,JAUNPUR,UTTAR PRADESH
UTIB0000639,AXIS BANK LTD,UTIB0000639,440211004,MADHAV NAGAR (NAGPUR),NAGPUR,NAGPUR,MAHARASHTRA
UTIB0000640,AXIS BANK LTD,UTIB0000640,NON-MICR,"TASGAON, MAHARASHTRA",TASGAON,SANGLI,MAHARASHTRA
UTIB0000641,AXIS BANK LTD,UTIB0000641,400211053,"SANPADA, NAVI MUMBAI",MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000642,AXIS BANK LTD,UTIB0000642,NON-MICR,BEGUSARAI (BIHAR),BEGUSARAI,BEGUSARAI,BIHAR
UTIB0000643,AXIS BANK LTD,UTIB0000643,282211003,TAJLINK ROAD (AGRA),AGRA,AGRA,UTTAR PRADESH
UTIB0000644,AXIS BANK LTD,UTIB0000644,110211057,NARAINA VIHAR (NEW DELHI),NEW DELHI,NEW DELHI ,DELHI
UTIB0000645,AXIS BANK LTD,UTIB0000645,NON-MICR,MANDSAUR (MADHYA PRADESH),MANDSAUR,MANDSAUR,MADHYA PRADESH
UTIB0000646,AXIS BANK LTD,UTIB0000646,NON-MICR,VIDISHA (MADHYA PRADESH),VIDISHA,VIDISHA,MADHYA PRADESH
UTIB0000647,AXIS BANK LTD,UTIB0000647,400211055,GOREGAON(WEST) (MUMBAI),MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000648,AXIS BANK LTD,UTIB0000648,125211202,FATEHABAD (HARYANA),FATEHABAD,FATEHABAD,HARYANA
UTIB0000649,AXIS BANK LTD,UTIB0000649,NON-MICR,RUPNAGAR (PUNJAB),RUPNAGAR,RUPNAGAR,PUNJAB
UTIB0000650,AXIS BANK LTD,UTIB0000650,NON-MICR,GAWLI PALASIA (MADHYA PRADESH),GAWLI PALASIA,INDORE,MADHYA PRADESH
UTIB0000651,AXIS BANK LTD,UTIB0000651,NON-MICR,CHANDRAPUR (MAHARASHTRA),CHANDRAPUR,CHANDRAPUR,MAHARASHTRA
UTIB0000652,AXIS BANK LTD,UTIB0000652,400211057,NEW PANVEL (MAHARASHTRA),PANVEL,RAIGAD,MAHARASHTRA
UTIB0000653,AXIS BANK LTD,UTIB0000653,400211054,WORLI NAKA (MUMBAI),MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000654,AXIS BANK LTD,UTIB0000654,400211056,SION (MUMBAI),MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000655,AXIS BANK LTD,UTIB0000655,NON-MICR,SIDHI (MADHYA PRADESH),SIDHI,SINDI ,MADHYA PRADESH
UTIB0000656,AXIS BANK LTD,UTIB0000656,NON-MICR,ITARSI (MADHYA PRADESH),ITARSI,HOSHANGABAD,MADHYA PRADESH
