ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,CITY,DISTRICT,STATE
SBIN0010374,STATE BANK OF INDIA,SBIN0010374,160002048,"SECTOR 20, PANCHKULA (NEW BRANCH)",PANCHKULA,PANCHKULA,HARYANA
SBIN0010375,STATE BANK OF INDIA,SBIN0010375,110002989,RASMECCC GURGAON,GURGAON,GURGAON,HARYANA
SBIN0010376,STATE BANK OF INDIA,SBIN0010376,422002013,MAHARASHTRA ENG.RESEARCH INSTITUTE BR.,NASIK,NASHIK ,MAHARASHTRA
SBIN0010377,STATE BANK OF INDIA,SBIN0010377,NON-MICR,"CAC, BALLYGUNGE",KOLKATA,KOLKATA,WEST BENGAL
SBIN0010380,STATE BANK OF INDIA,SBIN0010380,NON-MICR,CAC DURGAPUR,DURGAPUR,BARDHAMAN,WEST BENGAL
SBIN0010381,STATE BANK OF INDIA,SBIN0010381,NON-MICR,CAC PORT BLAIR,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR
SBIN0010382,STATE BANK OF INDIA,SBIN0010382,NON-MICR,"CURRENCY ADMINISTRATION CELL, BURDWAN",BURDWAN,BURDWAN,WEST BENGAL
SBIN0010383,STATE BANK OF INDIA,SBIN0010383,NON-MICR,"CURRENCY ADMINISTRATION CELL, SILIGURI",SILIGURI,DARJEELING,WEST BENGAL
SBIN0010384,STATE BANK OF INDIA,SBIN0010384,226002048,"CENTRALISED CLEARING PROCESSING CENTRE, LUCKNOW",LUCKNOW,LUCKNOW,UTTAR PRADESH
SBIN0010385,STATE BANK OF INDIA,SBIN0010385,211002054,CPPC ALLAHABAD,ALLAHABAD,ALLAHABAD,UTTAR PRADESH
SBIN0010386,STATE BANK OF INDIA,SBIN0010386,500002089,"RESEARCH CENTRE, IMARAT",HYDERABAD,RANGA REDDY,ANDHRA PRADESH
SBIN0010387,STATE BANK OF INDIA,SBIN0010387,515002035,"D R MS OFFICE, S C RAILWAY, GUNTAKAL",GUNTAKAL,RANGA REDDY,ANDHRA PRADESH
SBIN0010388,STATE BANK OF INDIA,SBIN0010388,160002096,CENTRALISED CLEARING PROCESSING CENTRE,CHANDIGARH,NEW DELHI,DELHI
